ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,
TABLE 5.5. Availability and consumption of electricity,,,,,,,,,,,,,,,,TWh,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Other generators,Other generators,Other generators,All electricity suppliers,All electricity suppliers,All electricity suppliers,,,,,,,
,,Electricity available,"Transmission, distribution and other losses",Sales to England and Wales,Sales to Scotland,Sales to Northern Ireland,Total Sales,Sales to Industrial,Sales to Domestic ,Sales to Other,Electricity available,Losses and statistical differences,Consumption of electricity,Electricity Available,Losses and statistical differences,Consumption of electricity,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2014,Quarter 2,74.01 ,5.87 ,60.28 ,6.23 ,1.64 ,68.15 ,21.42 ,23.82 ,22.90 ,4.76 ,0.08 ,4.68 ,78.77 ,5.94 ,72.83 ,,,,,,,
2014,Quarter 3,72.17 ,5.23 ,59.53 ,5.84 ,1.57 ,66.94 ,22.24 ,22.03 ,22.66 ,4.83 ,0.02 ,4.81 ,77.00 ,5.25 ,71.75 ,,,,,,,
2014,Quarter 4,84.63 ,8.39 ,67.38 ,7.07 ,1.80 ,76.24 ,21.69 ,29.74 ,24.82 ,5.05 ,0.02 ,5.03 ,89.68 ,8.41 ,81.27 ,,,,,,,
2015,Quarter 1,89.55 ,9.62 ,70.37 ,7.55 ,2.01 ,79.93 ,23.63 ,31.36 ,24.93 ,5.40 ,-0.25 ,5.66 ,94.95 ,9.37 ,85.58 ,,,,,,,
2015,Quarter 2,73.89 ,5.84 ,60.02 ,6.29 ,1.75 ,68.06 ,21.90 ,23.72 ,22.43 ,5.41 ,0.11 ,5.30 ,79.30 ,5.95 ,73.35 ,,,,,,,
2015,Quarter 3,72.27 ,5.41 ,59.37 ,5.78 ,1.72 ,66.86 ,22.03 ,21.80 ,23.03 ,5.32 ,-0.07 ,5.39 ,77.59 ,5.33 ,72.26 ,,,,,,,
2015,Quarter 4,82.97 ,7.81 ,66.30 ,6.89 ,1.96 ,75.16 ,20.66 ,29.75 ,24.75 ,4.87 ,0.24 ,4.63 ,87.83 ,8.05 ,79.79 ,,,,,,,
2016,Quarter 1 ,87.68 ,8.80 ,69.80 ,7.12 ,1.96 ,78.89 ,21.49 ,31.69 ,25.71 ,5.53 ,0.31 ,5.22 ,93.21 ,9.11 ,84.11 ,,,,,,,
2016,Quarter 2 ,73.04 ,6.02 ,59.35 ,5.94 ,1.74 ,67.02 ,20.95 ,23.53 ,22.54 ,5.70 ,0.63 ,5.08 ,78.74 ,6.65 ,72.10 ,,,,,,,
2016,Quarter 3,70.32 ,5.09 ,57.94 ,5.57 ,1.73 ,65.23 ,21.23 ,21.36 ,22.64 ,5.99 ,0.57 ,5.42 ,76.31 ,5.66 ,70.65 ,,,,,,,
2016,Quarter 4,83.79 ,6.80 ,68.01 ,6.97 ,2.01 ,76.99 ,22.09 ,30.03 ,24.87 ,5.70 ,0.29 ,5.41 ,89.50 ,7.09 ,82.40 ,,,,,,,
2017,Quarter 1,84.76 ,8.50 ,67.14 ,7.10 ,2.02 ,76.26 ,21.93 ,30.43 ,23.91 ,6.43 ,-0.17 ,6.60 ,91.19 ,8.33 ,82.86 ,,,,,,,
2017,Quarter 2 ,71.27 ,5.73 ,58.07 ,5.73 ,1.74 ,65.54 ,20.72 ,22.83 ,21.99 ,6.39 ,0.38 ,6.01 ,77.66 ,6.11 ,71.55 ,,,,,,,
2017,Quarter 3,69.94 ,5.26 ,57.42 ,5.51 ,1.75 ,64.68 ,21.68 ,20.94 ,22.07 ,6.37 ,0.09 ,6.28 ,76.31 ,5.35 ,70.96 ,,,,,,,
2017,Quarter 4,82.87 ,6.71 ,67.36 ,6.85 ,1.95 ,76.16 ,22.54 ,29.77 ,23.85 ,6.02 ,-0.37 ,6.39 ,88.89 ,6.34 ,82.55 ,,,,,,,
2018,Quarter 1 ,87.44 ,8.68 ,69.40 ,7.26 ,2.09 ,78.75 ,22.11 ,31.69 ,24.96 ,6.02 ,0.43 ,5.59 ,93.45 ,9.11 ,84.34 ,,,,,,,
2018,Quarter 2,70.99 ,5.47 ,58.00 ,5.76 ,1.75 ,65.52 ,20.92 ,22.79 ,21.80 ,6.75 ,0.44 ,6.31 ,77.74 ,5.91 ,71.83 ,,,,,,,
2018,Quarter 3,69.44 ,5.17 ,57.02 ,5.52 ,1.74 ,64.27 ,21.75 ,20.31 ,22.21 ,6.29 ,0.23 ,6.06 ,75.74 ,5.40 ,70.34 ,,,,,,,
2018,Quarter 4 p,80.85 ,6.62 ,65.62 ,6.67 ,1.94 ,74.23 ,22.13 ,28.56 ,23.54 ,6.08 ,0.36 ,5.72 ,86.93 ,6.98 ,79.95 ,,,,,,,
